% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=8, Fri Sep 16 09:19:59 2022, <python>{}</python>
1 20 0.9873400689000622 1.0000499012450257 1.467046856880188 1.4670468568801880e+00 1.4853085279464722 1.4959243535995483   
2 40 0.9758985971735888 1.0000499012450257 1.4637337923049927 1.4637337923049927e+00 1.4808697700500488 1.4883126020431519   
3 60 0.9654128964489285 1.0000499012450257 1.460528016090393 1.4605280160903931e+00 1.470110535621643 1.487505316734314   
4 80 0.9556745145919918 1.0000499012450257 1.4531925916671753 1.4531925916671753e+00 1.4635592699050903 1.4762080907821655   
5 100 0.9467157360111413 1.0000499012450257 1.445639967918396 1.4456399679183960e+00 1.4550343751907349 1.4747568368911743   
6 120 0.9381560901406426 1.005393352986852 1.4405649900436401 1.4405649900436401e+00 1.4516315460205078 1.4611576795578003   
7 140 0.930139440796614 1.005393352986852 1.4293750524520874 1.4293750524520874e+00 1.4449201822280884 1.4536365270614624   
8 160 0.9227012348970274 1.005393352986852 1.4231046438217163 1.4231046438217163e+00 1.4310771226882935 1.4431633949279785   
9 180 0.9156267471164963 1.005393352986852 1.4167767763137817 1.4167767763137817e+00 1.4295040369033813 1.436252474784851   
10 200 0.9090026184007153 1.005393352986852 1.4090408086776733 1.4090408086776733e+00 1.423155426979065 1.4372855424880981   
11 220 0.902973621882415 1.0061968208661987 1.4027866125106812 1.4027866125106812e+00 1.4151482582092285 1.4335464239120483   
12 240 0.8974398516077029 1.0061968208661987 1.3958207368850708 1.3958207368850708e+00 1.4103020429611206 1.4187942743301392   
13 260 0.8921540123741581 1.0061968208661987 1.3877378702163696 1.3877378702163696e+00 1.400627613067627 1.410691261291504   
14 280 0.8873422579862197 1.0061968208661987 1.3856219053268433 1.3856219053268433e+00 1.395234227180481 1.403257966041565   
15 300 0.8830366520570405 1.0061968208661987 1.3836921453475952 1.3836921453475952e+00 1.3909965753555298 1.4026764631271362   
16 320 0.8790409283211527 1.0082886345358162 1.3750839233398438 1.3750839233398438e+00 1.3866974115371704 1.3963079452514648   
17 340 0.8752394616321212 1.0082886345358162 1.370918869972229 1.3709188699722290e+00 1.379838466644287 1.389025092124939   
18 360 0.871644131313565 1.0082886345358162 1.3632129430770874 1.3632129430770874e+00 1.3724919557571411 1.3862780332565308   
19 380 0.8682601240116311 1.0082886345358162 1.3554540872573853 1.3554540872573853e+00 1.3659807443618774 1.3734854459762573   
20 400 0.865062858883466 1.0082886345358162 1.3489927053451538 1.3489927053451538e+00 1.3631525039672852 1.3693031072616577   
21 420 0.8622786383721068 1.0110791415789864 1.3440004587173462 1.3440004587173462e+00 1.3526703119277954 1.3590136766433716   
22 440 0.8598698075124619 1.0110791415789864 1.334244728088379 1.3342447280883789e+00 1.3452690839767456 1.3528847694396973   
23 460 0.8578115692038917 1.0110791415789864 1.3313931226730347 1.3313931226730347e+00 1.3382552862167358 1.3482249975204468   
24 480 0.8560222326531807 1.0110791415789864 1.3236734867095947 1.3236734867095947e+00 1.3347344398498535 1.3409638404846191   
25 500 0.8544925314029529 1.0110791415789864 1.3205677270889282 1.3205677270889282e+00 1.329534888267517 1.3379260301589966   
26 520 0.8531568264178706 1.0148186233019147 1.31251859664917 1.3125185966491699e+00 1.3254491090774536 1.3337854146957397   
27 540 0.8521303583779105 1.0148186233019147 1.3105882406234741 1.3105882406234741e+00 1.3171623945236206 1.3282209634780884   
28 560 0.8512775576686077 1.0148186233019147 1.3064243793487549 1.3064243793487549e+00 1.3133832216262817 1.3284028768539429   
29 580 0.8506107906558094 1.0148186233019147 1.3041155338287354 1.3041155338287354e+00 1.3122289180755615 1.3185511827468872   
30 600 0.8501357142948748 1.0148186233019147 1.3010669946670532 1.3010669946670532e+00 1.308491826057434 1.3192667961120605   
31 620 0.8497618733468452 1.0196973320853147 1.296187162399292 1.2961871623992920e+00 1.3037060499191284 1.3114526271820068   
32 640 0.8495643046951094 1.0196973320853147 1.29137122631073 1.2913712263107300e+00 1.2973445653915405 1.3050057888031006   
33 660 0.8493919243225628 1.0196973320853147 1.2817245721817017 1.2817245721817017e+00 1.294040560722351 1.3071949481964111   
34 680 0.8493271094471423 1.0196973320853147 1.2727264165878296 1.2727264165878296e+00 1.2861610651016235 1.2959935665130615   
35 700 0.8493230301908514 1.0196973320853147 1.2699252367019653 1.2699252367019653e+00 1.278988242149353 1.288331151008606   
36 720 0.8495597609320098 1.025117633009231 1.264661192893982 1.2646611928939819e+00 1.2747834920883179 1.2846698760986328   
37 740 0.8498060253958578 1.025117633009231 1.2614076137542725 1.2614076137542725e+00 1.2693779468536377 1.2793463468551636   
38 760 0.8502270722080588 1.025117633009231 1.2525473833084106 1.2525473833084106e+00 1.2635031938552856 1.2780543565750122   
39 780 0.8508446153972663 1.025117633009231 1.2500027418136597 1.2500027418136597e+00 1.2565428018569946 1.2633572816848755   
40 800 0.8517249262430939 1.025117633009231 1.240277886390686 1.2402778863906860e+00 1.2517238855361938 1.2668386697769165   
41 820 0.8526676682056632 1.031329247645135 1.240277886390686 1.2413262128829956e+00 1.2471829652786255 1.2579083442687988   
42 840 0.8536886695547297 1.031329247645135 1.2361199855804443 1.2361199855804443e+00 1.243660807609558 1.255408763885498   
43 860 0.8549228370666744 1.031329247645135 1.230339527130127 1.2303395271301270e+00 1.2405381202697754 1.2458475828170776   
44 880 0.856257611879559 1.031329247645135 1.2204861640930176 1.2204861640930176e+00 1.232754111289978 1.2473007440567017   
